WKT,osm_id,amenity,name,operational_status,opening_hours,operational_status:electricity,operator:type
POINT (36.778482283961253 -1.319219048646849),612007506,library,Kibera Library,,,,
POINT (36.778561784863903 -1.319135796890936),612007505,school,St Monica Nursery School,,08:00-16:00,,cbo
POINT (36.779002498342287 -1.318961659713942),5119233643,school,Imani Nursery School,,,,cbo
POINT (36.779178927464095 -1.318682088243395),5119233644,school,Anajali Nursery School,,,,private
POINT (36.779224561880518 -1.318690530170698),5119233645,school,Anajali Primary School,,,,private
POINT (36.779632307187981 -1.318974322603454),2968577925,school,Hoywik Primary School,,,,cbo
POINT (36.779674168680224 -1.319045809552928),2968577926,school,Hoywik Nursery School,,,,cbo
POINT (36.779719982759715 -1.318958606251224),5119185445,school,Hoywik Secondary School,,,,cbo
POINT (36.779803166755023 -1.31877935002101),5119214668,school,Hope Academy,,,,cbo
POINT (36.779987950208962 -1.318621288404492),2968577923,school,Hope Academy,,,,cbo
POINT (36.780070325720523 -1.318691518055804),2968577924,school,Hope Academy,,,,cbo
POINT (36.781948163990442 -1.319085953605319),2968578147,school,St Peters Wonder,,,,private
POINT (36.794338716535826 -1.318467178318741),748845930,school,Kibera New Hope Centre,operational,Mo-Fr 08:00-16:00,often,religious
POINT (36.796131214853759 -1.31837153306841),612009037,school,St. John Community School,operational,Mo-Fr 08:30-16:00,never,cbo
POINT (36.797812771234106 -1.318592639735445),2930752632,school,Maria Consolata Nusery,,,,religious
POINT (36.798467193918583 -1.318454605234405),2930836428,school,Maria Consolata,,,,religious
POINT (36.798681082787738 -1.318508579688874),748845940,school,ACK Emmanuel Primary School,operational,Mo-Fr 07:00-16:00,never,religious
POINT (36.776558362117257 -1.317135688334488),2958438682,school,Maono Educational Centre,,,,cbo
POINT (36.775695350623806 -1.316074429417824),2923815704,school,Soweto Academy,,,,private
POINT (36.775761466628708 -1.316123913532371),5119249855,school,Soweto Academy,,,,private
POINT (36.775867916989881 -1.316009049315775),2959968892,school,Soweto Academy,,,,private
POINT (36.775227597855356 -1.315427184293619),2923815708,school,St Catherine Children and Educational Centre,,,,private
POINT (36.775291108745947 -1.315376083623836),3009031329,school,Jeshurum Children Centre,,,,private
POINT (36.775294342680972 -1.315332796236658),2923815707,school,St Catherine Children and Educational Centre,,,,private
POINT (36.775401242199777 -1.31490522098807),748779286,school,Abib Kindergarten,operational,07:00-16:00,sometimes,private
POINT (36.7758815713822 -1.314792242680787),3073260241,school,Fairview Eduacational Centre,,,,private
POINT (36.775844201466377 -1.314605442288695),3073260240,school,Fairview Eduacational Centre,,,,private
POINT (36.776453618555124 -1.314788111518423),3152198030,school,Bidii Nursery School,,,,cbo
POINT (36.776261019758209 -1.312936092779847),3009031330,school,Soda Academy,,,,private
POINT (36.778063399544273 -1.317861514812364),5119251870,school,Ebenezer Academy,,,,religious
POINT (36.777364330590167 -1.317491955824132),748870479,school,Church On The Rock Academy,,08:00-15:00,,religious
POINT (36.777373493406067 -1.317487106203994),5119239744,school,Church On The Rock Academy,,,,religious
POINT (36.777039679446489 -1.317220017850755),612008370,school,St Christine,,08:00-17:00,,cbo
POINT (36.777055489795487 -1.317209510339287),5119209879,school,St Christine,,,,cbo
POINT (36.777066179747365 -1.317199811097918),5119191997,school,St Christine,,,,cbo
POINT (36.777429009290621 -1.31739388572619),5119239745,school,St Stephen Educational Centre,,,,cbo
POINT (36.777426853333942 -1.317395861497431),748870482,school,St Stephen Educational Centre,,,,cbo
POINT (36.77891194816165 -1.317246960187609),2952187220,school,Galilaya Educational Centre,,,,private
POINT (36.778916978727239 -1.317220017850755),2968577916,school,Galilaya Educational Centre,,,,private
POINT (36.778139397017306 -1.315832397300708),5119148464,school,Woodley Nazarene Pre-Primary School,,,,cbo
POINT (36.778141103816345 -1.315823775748054),2923814199,school,Woodley Nazarene Primary School,,,,cbo
POINT (36.778415808630228 -1.315675053960023),5134962352,school,St Bakhita Non- Formal School,,,,religious
POINT (36.780546881978744 -1.317543236066111),2952187224,school,Golden Light Secondary,,,,cbo
POINT (36.780663662965679 -1.317496805444257),2968578138,school,Riverside Childrens Centre,,,,cbo
POINT (36.781286554783684 -1.317795057063976),2064571555,school,St Charles Lwanga School,,,always,
POINT (36.779637607248155 -1.316158758969981),2952187218,school,FPFK Gatwekera School,,,,religious
POINT (36.780952650992582 -1.316760112115552),2952187215,school,Baptist Rescue Centre,,,,religious
POINT (36.780953100150228 -1.316751131334883),2935256787,school,Baptist Rescue Centre,,,,religious
POINT (36.781879622534262 -1.316215876748106),748912736,school,Seed School Kibera,,08:00-12:30,,ngo
POINT (36.781890761643787 -1.316193963638419),2935256797,school,Seed School Kibera,,,,ngo
POINT (36.782167083425179 -1.315882240651425),612004414,school,Guum CBO Primary School,,07:00-16:00,,cbo
POINT (36.777179906462329 -1.314500636485672),2966573884,school,Starays Hope Community Center,,,,private
POINT (36.77756761933896 -1.314764222622864),748833040,school,Childlife Olympic Vocational Centre,operational,08:00-16:00,,cbo
POINT (36.777848792022887 -1.314708362121847),2064571554,school,KAG Olympic Education Centre,,,sometimes,religious
POINT (36.777843042805074 -1.314693633629406),2932284091,school,KAG Olympic Education Centre,,,,religious
POINT (36.777843581794244 -1.314352453466161),748833035,school,Valley of Hope,operational,07:00-16:00,always,private
POINT (36.778868559533429 -1.315208591965947),2950176594,school,Kings Kid Kindergarten,,,,private
POINT (36.77883136928066 -1.315149049352411),612009188,school,Care Highway Little School,operational,07:00-17:00,never,cbo
POINT (36.778635356885665 -1.314770329558594),2932284092,school,Nairobi West High School,,,,private
POINT (36.778698059292502 -1.314653758929922),2950176593,school,Kids Zone School,,,,private
POINT (36.778700215249181 -1.31465151373285),5134767245,school,Kids Zone School,,,,private
POINT (36.778733452914693 -1.314534314443423),6586061435,school,Sunflower Early Education Development,,,,NGO
POINT (36.77878241109768 -1.314511682855849),3454416006,school,Role Model Education Centre,,,,cbo
POINT (36.778649819761739 -1.314360805600223),2932284090,school,High Flyer Children Centre,,,,private
POINT (36.779204619281209 -1.314591701682377),5134896974,school,Platinum Educatioonal Centre,,,,ngo
POINT (36.779202014166891 -1.31453054251218),5144576746,school,Platinum Educatioonal Centre,,,,ngo
POINT (36.777392717353145 -1.314115001385062),890550513,school,St Vincent De Paul Nursery School,operational,07:30-16:30,sometimes,private
POINT (36.778089720182095 -1.3139828041501),2978013375,school,Loam Education Centre,,,,private
POINT (36.777608223189802 -1.313740682022268),3070142761,school,Golden Heart Academy,,,,private
POINT (36.777610558809542 -1.313738796056048),5134858557,school,Golden Heart Academy,,,,private
POINT (36.77740277848433 -1.31315378722706),5134766588,school,Inua Mimi Rescue Centre,,,,government
POINT (36.777398017413319 -1.313133490633362),1015625631,school,Inua Mimi Rescue Centre,,,,private
POINT (36.77813670207145 -1.313954604467273),2978013374,school,Loam Education Centre,,,,private
POINT (36.779424526862762 -1.313812887585097),612007554,school,Palm Olive Academy,operational,,always,cbo
POINT (36.778949857066642 -1.312884632827293),612006955,library,St Elizabeth Library,,,,
POINT (36.779966480473675 -1.314615231348063),3533006869,school,Spurgeons Academy,,,,private
POINT (36.780021996358236 -1.314640377555398),3533006870,school,Spurgeons Academy,,,,private
POINT (36.780762567478462 -1.314424389587638),3454416004,school,Brainstorm Junior School,,,,private
POINT (36.7807898762631 -1.314332426305875),3454416005,school,Peace Junior Academy,,,,private
POINT (36.781516703159483 -1.315159916104007),7208344250,school,The Global One Foundation Secondary School,,,,ngo
POINT (36.78156170875522 -1.3152582557134),7208344237,school,PRCC Academy,,,,religious
POINT (36.781006729572688 -1.31489408481175),2952187223,school,Global One Kibera School,,,,ngo
POINT (36.781367223496204 -1.314886900181834),2952206939,school,St John PAG Nursery,,,,private
POINT (36.779836943409705 -1.313819174138976),748833039,school,Kibera Center For Evangelization,operational,09:00-20:30,always,religious
POINT (36.780440521449108 -1.313737359129393),1712435882,school,Palm Olive Academy,,,,private
POINT (36.780100509114071 -1.313474850578923),612007576,school,Robter Nursery School,operational,07:00-18:00,never,private
POINT (36.780559368561192 -1.313232099746343),612007152,school,Olympic Primary School,,,,government
POINT (36.780416985588666 -1.312869275668474),748833033,school,Green House Pre-Unit School For Deaf,operational,8hours,sometimes,ngo
POINT (36.781193219825674 -1.314193224066321),2959968888,school,Grace Springs Academy,,,,religious
POINT (36.781335602798201 -1.314049441615883),3082332225,school,Hope and Faith Junior Academy,,,,private
POINT (36.781394083123196 -1.314041179288675),3082332226,school,Jamy Quality Educational Centre,,,,private
POINT (36.781774789140606 -1.313736910089816),4737879685,library,Kibera Town Center Library,,05:00-21:00,,
POINT (36.782223497625026 -1.313869825801088),612007921,library,unknown video library,,Mo-Fr 08:30-20:00,,
POINT (36.773952349478023 -1.312475647407615),3009031328,school,Julie Hope Children and Rescue Centre,,,,private
POINT (36.772163624084286 -1.310697808385543),2923815715,school,St Michael Holy Unity Academy,,,,cbo
POINT (36.772146286599302 -1.310660897287193),2923815714,school,St Michael Holy Unity Academy,,,,cbo
POINT (36.77203651247158 -1.310535794704065),2968491187,school,New Lang'ata Centre School,,,,cbo
POINT (36.772152754469346 -1.31062407599632),2923815713,school,St Michael Holy Unity Academy,,,,cbo
POINT (36.773457557419533 -1.311416811326634),2923814197,school,Kibera Salvation Army School,,,,religious
POINT (36.772901051101016 -1.310578722942194),2932284096,school,Chema Vision Children Centre,,,,cbo
POINT (36.772956297490992 -1.310554295158245),2932284095,school,Chema Vision Children Centre,,,,cbo
POINT (36.772897098513774 -1.310439700109765),612008764,school,Brothers Missionery Primary School,operational,08:00-17:00,always,religious
POINT (36.772943271919374 -1.310348095913631),1015636343,college,Killer Advanced Institute,,,,
POINT (36.773984598996726 -1.310558156903518),1015636347,college,Kibera Christian Hope Centre and Computer College,,,,
POINT (36.775171992139271 -1.312198589833455),5112424649,school,Goodson Childcare Centre,,,,private
POINT (36.774904024690024 -1.312130425582778),761956459,school,Joysprings Educational Centre,,,,religious
POINT (36.774897826314557 -1.312113451875809),2923814196,school,Joysprings Educational Centre,,,,religious
POINT (36.775129052668689 -1.311800830299728),5119249858,school,St. Geoarge Orthodox,,,,religious
POINT (36.775128423847995 -1.311781431774917),2923815712,school,St George Orthodox Nursery School,,,,religious
POINT (36.776146484559483 -1.312015561182537),2923814192,school,MSK Tusaidie Watoto School,,,,cbo
POINT (36.776309079625911 -1.312062800178112),2923815702,school,Shammah Children Centre,,,,cbo
POINT (36.77631698480041 -1.312051304757213),2923815701,school,Shammah Children Centre,,,,cbo
POINT (36.776298749000148 -1.311941918640116),2923815706,school,St Andrews ACK School,,,,religious
POINT (36.776576687749049 -1.312013226175124),7174839950,school,BornStar Children Center,,,,cbo
POINT (36.774702981729433 -1.311359962862791),1809764833,college,Kianda Vission Computer Training College,,,,
POINT (36.776173254354951 -1.311031624790439),7200228127,school,West Hill Kid's Centre,,,,
POINT (36.776095729745933 -1.310258736915166),2978013376,school,Happy Kids Children Center,,,,cbo
POINT (36.772007766382494 -1.309941804321011),5112486231,school,Rem Outreach Community Centre,,,,religious
POINT (36.772001118849388 -1.309928422921285),5112486230,school,Rem Outreach Community Centre,,,,religious
POINT (36.772565530342398 -1.309050549058192),612008779,library,G.A.A. Kibera Community Library,,,,
POINT (36.772901590090193 -1.30901363793558),761992157,school,St Collins Nursery School,operational,08:00-15:00,,private
POINT (36.771969947309032 -1.308225931099367),2951976098,school,Young Achievers School,,,,cbo
POINT (36.771969947309032 -1.308225931099367),5119234548,school,Young Achievers Pre-School,,,,cbo
POINT (36.771900507537566 -1.307677383084664),6021550872,school,New Life,,,,
POINT (36.772080170594393 -1.307573744497361),3082332224,school,Greatstar Academy,,,,private
POINT (36.773953607119424 -1.308144924180056),5112539269,school,Christian Community Development Association,,,,religious
POINT (36.773761816806257 -1.307553358050308),5078702759,school,Babylon Daycare Nursery School,,,,private
POINT (36.774995652849 -1.308901647251224),2964954568,school,Tenderlings School,,,,private
POINT (36.774010829803018 -1.308101906092122),5112539268,school,Christian Community Development Association,,,,religious
POINT (36.774869349720049 -1.308677576059436),3034459577,school,Little Rock ECD,,,,private
POINT (36.774549279984328 -1.30766355263218),2951976091,school,Angels of Hope,,,,private
POINT (36.774626445267224 -1.30764388465093),5112568186,school,Angels of Hope,,,,private
POINT (36.77625769599166 -1.308580852737183),612008500,school,Tenderlings School,operational,07:30-15:30,always,private
POINT (36.776477962899328 -1.308648927276346),752394857,school,Tenderlings School,operational,07:30-16:00,always,private
POINT (36.775908071683077 -1.307518602300994),5112588899,school,Havilla Children Centre,,,,cbo
POINT (36.775983979324586 -1.307485463097705),2951976094,school,Havilla Children Centre,,,,cbo
POINT (36.776457571142373 -1.308037962711633),4967598610,school,Ayany Primary School,,,,government
POINT (36.7764528999029 -1.308008685264405),752394881,school,Ayany Primary School,operational,"class 1-3: 07:30-16:00, class 4-8: 07:00-16:00",,government
POINT (36.777292645030499 -1.312691904967688),3082332228,school,Kenya Adonai Masters And Servants Of Children,,,,religious
POINT (36.777298573911366 -1.312690917080203),3082332227,school,Kenya Adonai Masters And Servants Of Children,,,,religious
POINT (36.777323277581679 -1.312616825517886),612007585,school,AMMSA Junior Academy,operational,07:30-17:00,never,private
POINT (36.776969161696677 -1.312461098517942),5134901855,school,Tunza Children Center,,,,cbo
POINT (36.776971048158778 -1.312470348737926),3004383269,school,Tunza Children Center,,,,cbo
POINT (36.777230391781302 -1.3123808101993),612009191,school,Red Rose Children Center,operational,07:30-16:30,always,cbo
POINT (36.777255185283146 -1.312368057468356),2932284094,school,Redrose Children Centre,,,,cbo
POINT (36.777226978183222 -1.311979099143508),612009192,school,Berith Bible College,,,,religious
POINT (36.779406919883201 -1.312324231181262),5400815312,school,Shine Academy,,,,private
POINT (36.779412848764068 -1.312309502674762),5400815313,school,Shine Academy,,,,cbo
POINT (36.777470241962156 -1.31128245855693),7174839951,school,Silver Springs Secondary School,,,,private
POINT (36.778749622589807 -1.311256414235759),752276387,school,Three Bells Center,operational,08:00-15:00,,private
POINT (36.779931625840646 -1.311727726598917),3070186505,school,Karama Academy,,,,religious
POINT (36.780131411159836 -1.31153544769014),3070186504,school,Karama Academy,,,,religious
POINT (36.780642462724977 -1.312150093528826),5134766589,school,Jeremic Adventist Academy,,,,religious
POINT (36.780796074638559 -1.312088754682912),2951976096,school,Jeremic Adventist Academy,,,,religious
POINT (36.781239303399744 -1.31275728515658),2959968890,school,Olympic High School,,,,government
POINT (36.781962087877346 -1.311053178713368),2951976097,school,Three Bells Primary,,,,private
POINT (36.781961818382754 -1.311052280633247),5112495242,school,Three Bells Secondary,,,,private
POINT (36.781646150391921 -1.310413655779842),5134869730,school,Star Of The Land Education Centre,,,,cbo
POINT (36.781636718081437 -1.310367584257598),2979097967,school,Star Of The Land Education Centre,,,,cbo
POINT (36.779300469522028 -1.308984629923992),3082332231,school,St Florence Educational Centre,,,,private
POINT (36.779334515671295 -1.308987863015088),3082332232,school,St Florence Educational Centre,,,,private
POINT (36.779581282879846 -1.307790631137474),3070274195,school,Little Prince Primary School,,,,religious
POINT (36.779854819883859 -1.307996022319323),1864056792,school,Little Prince Primary School,,,,religious
POINT (36.781142824338232 -1.307374819467298),3082332229,school,Restoration Educational Centre,,,,cbo
POINT (36.77129288707939 -1.307137007491921),2951976093,school,Damside Preparatory School,,,,cbo
POINT (36.771280400496934 -1.307057796700563),2951976092,school,Damside Preparatory School,,,,private
POINT (36.774943281067934 -1.306810105797184),3585292566,school,Babylon Daycare Nursery School,,,,private
POINT (36.776609925414562 -1.306549392684309),1875796682,school,Nairobi Training Centre,,,,
POINT (36.777122054958042 -1.306671980837556),3082332223,school,Chrisco Educational Centre,,,,religious
POINT (36.777084864705273 -1.306629232148901),3073056064,school,Chrisco Educational Centre,,,,religious
POINT (36.781110484988005 -1.306036318539225),1875796685,school,Toi Primary School,,,,government
POINT (36.783431911345225 -1.317011124922374),4711263744,school,Becky School Centre,,,,cbo
POINT (36.78224200291988 -1.31580904726219),2935256790,school,Guum CBO Nursery School,,,,cbo
POINT (36.782984999491376 -1.315756958713943),4711308866,school,Jitahidi ECD Centre,,,,private
POINT (36.784106276629011 -1.315842276163101),4711263745,school,Rays Education Centre,,,,cbo
POINT (36.786102512853383 -1.315664007594986),1763898747,school,Kibera School For Girls,,,,ngo
POINT (36.782590369587055 -1.315403295404191),2952187226,school,Kibera Hamlets,,,,ngo
POINT (36.782236792691229 -1.315199880603271),2952187229,school,Kimmta Academy,,,,cbo
POINT (36.78331342355925 -1.315026012574866),2968578149,school,St Stephen Children's Centre,,,,private
POINT (36.782436578010419 -1.314798888463712),748912704,school,St Joseph (Missionaries Of Charity),,,,religious
POINT (36.782279911824872 -1.314512401318966),2952206941,school,St Judy Community Centre,,,,private
POINT (36.783134748649239 -1.314708182506078),3073173658,school,Baraka Za Ibrahim Secondary School,,,,private
POINT (36.7834195145943 -1.314255011900058),2968578135,school,Miracle And Victory Children Centre,,,,cbo
POINT (36.784626670673099 -1.31495210069754),2968578136,school,Oloos Children Centre,,,,cbo
POINT (36.784184609721784 -1.314720575993549),2952187217,school,Cana Junior Children Centre,,,,private
POINT (36.783807676628577 -1.314361524063366),2952187216,school,Bethel Outreach Children Centre,,,,cbo
POINT (36.784328250335719 -1.314631576382853),7208230994,school,Oloo Student Centre Pre School,,,,cbo
POINT (36.784376669529529 -1.314589905524691),7208230995,school,Oloo Student Centre,,,,
POINT (36.78228997295605 -1.313594384924004),748912656,school,Mount Sinai Educational Centre,,,,private
POINT (36.784103941009278 -1.313845308241365),2952187221,school,Gifted Hands Educational Centre,,,,cbo
POINT (36.784082201779391 -1.313757745526104),748912629,school,Gifted Hands Educational Centre,,07:00-17:00,,cbo
